annotator,n,overall_yes,overall_no,overall_missing,chart_family_yes,chart_family_no,chart_family_missing,labels_yes,labels_no,labels_missing,fields_yes,fields_no,fields_missing,transform_yes,transform_no,transform_missing,confidence_mean
Expert 1,240,109,131,0,146,94,0,160,80,0,171,69,0,208,32,0,4.7875
Expert 2,240,122,118,0,158,82,0,153,87,0,172,68,0,212,28,0,4.808333333333334
Expert 3,240,120,120,0,154,86,0,144,96,0,166,74,0,209,31,0,4.804166666666666
Expert 4,240,114,126,0,155,85,0,143,97,0,174,66,0,206,34,0,4.783333333333333
Expert 5,240,112,128,0,154,86,0,151,89,0,170,70,0,211,29,0,4.804166666666666
