comparison,overall_n,overall_kappa,overall_agreement_pct,chart_family_n,chart_family_kappa,chart_family_agreement_pct,labels_n,labels_kappa,labels_agreement_pct,fields_n,fields_kappa,fields_agreement_pct,transform_n,transform_kappa,transform_agreement_pct,model,missing
openai_gpt_4o vs domain-expert majority,240,0.07439446366782017,55.41666666666667,240,0.001679132956800263,54.58333333333333,240,0.06237688772160208,50.416666666666664,240,0.011624045167718377,48.333333333333336,240,0.0,4.166666666666666,openai_gpt_4o,0
openai_gpt_4o_mini vs domain-expert majority,240,0.09163001946507104,56.25,240,0.008264462809917467,53.333333333333336,240,-0.013089005235602047,46.25,240,0.011386470194239745,48.75,240,0.0,0.0,openai_gpt_4o_mini,0
gemini_gemini_2_5_flash vs domain-expert majority,44,-0.1100917431192662,50.0,44,0.026041666666666446,61.36363636363637,44,-0.043795620437956255,40.909090909090914,44,-0.13110539845758343,54.54545454545454,44,0.0,50.0,gemini_gemini_2_5_flash,196
qwen3_vl_4b vs domain-expert majority,240,0.04563698528318739,55.41666666666667,240,0.006711409395973249,53.75,240,0.0006455777921239487,46.25,240,-0.06415854887470612,45.0,240,0.0,51.66666666666667,qwen3_vl_4b,0
minicpm_v vs domain-expert majority,240,0.01323978725811929,54.58333333333333,240,0.0,54.58333333333333,240,0.01402021519400055,47.5,240,-0.01035750083528234,47.5,240,0.0,0.4166666666666667,minicpm_v,0
granite3_2_vision_latest vs domain-expert majority,240,-0.005766393992221901,47.91666666666667,240,-0.008326331067145447,54.166666666666664,240,0.027988146196904796,48.75,240,-0.010188742274929002,47.5,240,0.0,80.0,granite3_2_vision_latest,0
qwen2_5vl_3b vs domain-expert majority,240,-0.0033063504731503063,54.166666666666664,240,-0.008326331067145447,54.166666666666664,240,0.010546500479386399,46.25,240,0.002357872674875556,0.8333333333333334,240,0.0,1.6666666666666667,qwen2_5vl_3b,0
llava_7b vs domain-expert majority,240,-0.03432353393874094,18.333333333333332,240,0.0,0.0,240,-0.0352941176470587,45.0,240,0.04321749867701523,52.916666666666664,240,0.0,0.0,llava_7b,0
bakllava_latest vs domain-expert majority,37,-0.0503225806451613,40.54054054054054,37,-0.014074074074074074,0.0,37,0.021903323262839874,5.405405405405405,37,-0.024615384615384612,2.7027027027027026,37,0.0,2.7027027027027026,bakllava_latest,203
deepseek_ocr_3b vs domain-expert majority,24,-0.0267379679144385,0.0,24,-0.02309058614564831,0.0,24,0.024734982332155476,4.166666666666666,24,0.014285714285714285,4.166666666666666,24,0.0,4.166666666666666,deepseek_ocr_3b,216
gemma3_4b vs domain-expert majority,72,0.05863708399366077,54.166666666666664,72,0.0,48.61111111111111,72,0.014598540145985465,37.5,72,0.010989010989011038,58.333333333333336,72,0.0,81.94444444444444,gemma3_4b,168
llama3_2_vision_11b vs domain-expert majority,98,0.09729418537708687,51.02040816326531,98,-0.006348020911127723,43.87755102040816,98,-0.020292923945650285,39.795918367346935,98,0.10555555555555564,53.06122448979592,98,0.0,71.42857142857143,llama3_2_vision_11b,142
llava_llama3_8b vs domain-expert majority,129,-0.030862496555524865,55.03875968992248,129,0.0,51.93798449612403,129,0.017686072218128252,51.93798449612403,129,0.041146801168038497,56.58914728682171,129,0.0,52.71317829457365,llava_llama3_8b,111
qwen3_vl_8b vs domain-expert majority,24,0.0,45.83333333333333,24,0.043478260869565064,54.166666666666664,24,0.043478260869565064,54.166666666666664,24,-0.10526315789473678,41.66666666666667,24,0.0,0.0,qwen3_vl_8b,216
