criterion,n,raters,fleiss_kappa,krippendorff_alpha,mean_pairwise_kappa,mean_pairwise_agreement_pct
overall,240,5,0.33053504064608613,0.331092928112215,0.3318425212085946,66.75000000000001
chart_family,240,5,-0.02924890886587898,-0.02839120144181706,-0.02832003543431038,80.24999999999999
labels,240,5,-0.009824259266508144,-0.008982739050451993,-0.006875794634461754,60.58333333333333
fields,240,5,0.0041754747637084335,0.005005328534740339,0.005341536268679668,68.33333333333333
transform,240,5,-0.00809910608113645,-0.0072590234927321085,-0.004935199534336746,76.33333333333334
