comparison,overall_n,overall_kappa,overall_agreement_pct,chart_family_n,chart_family_kappa,chart_family_agreement_pct,labels_n,labels_kappa,labels_agreement_pct,fields_n,fields_kappa,fields_agreement_pct,transform_n,transform_kappa,transform_agreement_pct,model,human,missing
Expert 4 vs granite3_2_vision_latest,240,-0.019382627422828397,40.833333333333336,240,-0.008304836345871742,64.16666666666667,240,-0.05999609145983976,52.916666666666664,240,-0.02906782492482414,67.91666666666667,240,-0.010638297872340316,68.33333333333333,granite3_2_vision_latest,Expert 4,0
Expert 5 vs granite3_2_vision_latest,240,0.00047258979206047096,41.25,240,-0.008305968707746173,63.74999999999999,240,0.04687819856704209,59.583333333333336,240,-0.010122535961641137,67.08333333333333,240,-0.025280898876404705,69.58333333333333,granite3_2_vision_latest,Expert 5,0
Expert 1 vs llama3_2_vision_11b,98,-0.07217222516322569,36.734693877551024,98,0.06893504197967297,56.12244897959183,98,-0.07692307692307725,47.95918367346938,98,-0.07988980716253444,51.02040816326531,98,0.02631578947368424,62.244897959183675,llama3_2_vision_11b,Expert 1,142
Expert 2 vs llama3_2_vision_11b,98,-0.01969528056484585,42.857142857142854,98,-0.02505473120895166,56.12244897959183,98,-0.030494216614090568,48.97959183673469,98,-0.06270627062706283,53.06122448979592,98,-0.014492753623188621,59.183673469387756,llama3_2_vision_11b,Expert 2,142
Expert 3 vs llama3_2_vision_11b,98,-0.04123896992616609,39.795918367346935,98,-0.004768717215069052,56.12244897959183,98,-0.051104100946372404,47.95918367346938,98,-0.1395348837209306,51.02040816326531,98,-0.05284552845528448,62.244897959183675,llama3_2_vision_11b,Expert 3,142
Expert 4 vs llama3_2_vision_11b,98,0.08229785701422654,46.93877551020408,98,0.08346972176759394,59.183673469387756,98,0.022443890274314194,51.02040816326531,98,0.08816003721795766,59.183673469387756,98,0.02631578947368424,62.244897959183675,llama3_2_vision_11b,Expert 4,142
Expert 5 vs llama3_2_vision_11b,98,-0.013190730837789728,40.816326530612244,98,0.018597997138769785,57.14285714285714,98,-0.05440519691433211,45.91836734693878,98,0.006600660066006322,56.12244897959183,98,-0.07279693486590051,59.183673469387756,llama3_2_vision_11b,Expert 5,142
Expert 1 vs llava_7b,240,0.002808662751561007,25.416666666666664,240,0.0,0.0,240,-0.06666666666666642,60.0,240,0.06856403622250967,43.75,240,0.0,0.0,llava_7b,Expert 1,0
Expert 2 vs llava_7b,240,-0.040945660479122625,19.583333333333332,240,0.0,0.0,240,-0.0603674540682411,57.91666666666667,240,0.10601719197707735,45.83333333333333,240,0.0,0.0,llava_7b,Expert 2,0
Expert 3 vs llava_7b,240,-0.0027100271002709927,22.916666666666664,240,0.0,0.0,240,-0.15686274509803946,50.83333333333333,240,-0.010230926629640468,40.0,240,0.0,0.0,llava_7b,Expert 3,0
Expert 4 vs llava_7b,240,-0.006739100536377418,23.75,240,0.0,0.0,240,-0.06082725060827268,54.58333333333333,240,0.0435525192143467,41.66666666666667,240,0.0,0.0,llava_7b,Expert 4,0
Expert 5 vs llava_7b,240,-0.00626612605971248,24.166666666666668,240,0.0,0.0,240,-0.14728682170542653,53.75,240,0.044707239688491385,42.5,240,0.0,0.0,llava_7b,Expert 5,0
Expert 1 vs llava_llama3_8b,129,-0.031029619181946303,47.286821705426355,129,0.0,62.7906976744186,129,-0.05652324374206935,44.96124031007752,129,-0.007610654916883282,69.76744186046511,129,-0.09814722083124702,47.286821705426355,llava_llama3_8b,Expert 1,111
Expert 2 vs llava_llama3_8b,129,-0.03096903096903119,50.3875968992248,129,0.0,68.21705426356588,129,0.10187978649338585,53.48837209302325,129,-0.004630604083350452,71.31782945736434,129,0.03104656985478193,53.48837209302325,llava_llama3_8b,Expert 2,111
Expert 3 vs llava_llama3_8b,129,0.028726977875593637,49.6124031007752,129,0.0,64.34108527131784,129,-0.09487268922218355,43.41085271317829,129,-0.0583409298085688,72.09302325581395,129,-0.004773869346733679,51.93798449612403,llava_llama3_8b,Expert 3,111
Expert 4 vs llava_llama3_8b,129,-0.0015985384791047884,47.286821705426355,129,0.0,65.11627906976744,129,0.030530765617660875,50.3875968992248,129,0.038968481375358535,69.76744186046511,129,-0.07916094393806959,48.06201550387597,llava_llama3_8b,Expert 4,111
Expert 5 vs llava_llama3_8b,129,-0.03110823071937788,42.63565891472868,129,0.0,64.34108527131784,129,0.008154706430568561,48.837209302325576,129,0.041454829878764234,70.54263565891473,129,0.0972256935766057,56.58914728682171,llava_llama3_8b,Expert 5,111
Expert 1 vs minicpm_v,240,-0.034185578856650425,43.75,240,0.0,60.83333333333333,240,0.025547445255474647,62.916666666666664,240,-0.028134769017020132,69.16666666666667,240,0.02597402597402599,10.416666666666668,minicpm_v,Expert 1,0
Expert 2 vs minicpm_v,240,0.005687802822835466,50.83333333333333,240,0.0,65.83333333333333,240,0.004536616979909286,60.0,240,-0.05584232754575288,68.75,240,0.009042672446005524,7.916666666666666,minicpm_v,Expert 2,0
Expert 3 vs minicpm_v,240,0.004149377593360981,50.0,240,0.0,64.16666666666667,240,0.01941747572815553,57.91666666666667,240,-0.004129537057161088,67.91666666666667,240,-0.0031442396400128128,7.5,minicpm_v,Expert 3,0
Expert 4 vs minicpm_v,240,-0.016074617979757864,46.666666666666664,240,0.0,64.58333333333334,240,-0.0026109660574412763,56.666666666666664,240,-0.02675343456254514,70.41666666666667,240,-0.015521232590793518,7.083333333333333,minicpm_v,Expert 4,0
Expert 5 vs minicpm_v,240,-0.017214397496087722,45.83333333333333,240,0.0,64.16666666666667,240,0.03979570121302387,60.83333333333333,240,-0.028571428571428654,68.75,240,-0.006986719613389026,6.666666666666667,minicpm_v,Expert 5,0
Expert 1 vs openai_gpt_4o,240,-0.004823151125401719,47.91666666666667,240,0.004588775150017801,60.83333333333333,240,0.05776173285198536,63.74999999999999,240,-0.0954165465552034,60.416666666666664,240,0.004041570438799081,4.166666666666666,openai_gpt_4o,Expert 1,0
Expert 2 vs openai_gpt_4o,240,0.01006711409395974,50.83333333333333,240,0.007664380798709066,65.83333333333333,240,0.012091587342423432,60.0,240,-0.1158465710964744,60.0,240,-0.0007942811755361341,3.75,openai_gpt_4o,Expert 2,0
Expert 3 vs openai_gpt_4o,240,0.016666666666666607,50.83333333333333,240,0.006546014632267796,64.16666666666667,240,-0.015473887814313185,56.25,240,-0.009055627425614428,62.083333333333336,240,-0.0004150350975332479,3.75,openai_gpt_4o,Expert 3,0
Expert 4 vs openai_gpt_4o,240,0.003267973856209117,49.166666666666664,240,-0.01655306718597899,63.74999999999999,240,0.03930830197742375,58.333333333333336,240,-0.07501476668635568,62.083333333333336,240,-3.607633753021236e-05,3.75,openai_gpt_4o,Expert 4,0
Expert 5 vs openai_gpt_4o,240,-0.05519480519480528,45.83333333333333,240,0.029649595687331255,65.0,240,0.005665003804853376,59.166666666666664,240,0.027645376549094432,64.58333333333334,240,-0.00499972925653845,3.3333333333333335,openai_gpt_4o,Expert 5,0
Expert 1 vs openai_gpt_4o_mini,240,-0.06005669457446119,44.166666666666664,240,0.03858731196860695,59.166666666666664,240,-0.09756097560975602,56.25,240,-0.04468949506674424,62.5,240,0.0,0.0,openai_gpt_4o_mini,Expert 1,0
Expert 2 vs openai_gpt_4o_mini,240,-0.04985418691848357,47.5,240,0.022906227630636943,62.083333333333336,240,-0.05894105894105883,55.833333333333336,240,-0.08814352574102972,61.25000000000001,240,0.0,0.0,openai_gpt_4o_mini,Expert 2,0
Expert 3 vs openai_gpt_4o_mini,240,-0.008264462809917437,49.166666666666664,240,0.03192227619708536,61.25000000000001,240,-0.05860113421550105,53.333333333333336,240,-0.016002977298101795,62.083333333333336,240,0.0,0.0,openai_gpt_4o_mini,Expert 3,0
Expert 4 vs openai_gpt_4o_mini,240,-0.02460669624848727,47.083333333333336,240,0.024475524475524393,61.25000000000001,240,-0.04290635765737545,53.75,240,0.0011890606420929325,65.0,240,0.0,0.0,openai_gpt_4o_mini,Expert 4,0
Expert 5 vs openai_gpt_4o_mini,240,-0.05656350053361792,45.0,240,-0.051353226925746,57.91666666666667,240,-0.09503452811575154,53.75,240,0.10172744721689056,67.5,240,0.0,0.0,openai_gpt_4o_mini,Expert 5,0
Expert 1 vs qwen2_5vl_3b,240,0.010372062042059085,45.83333333333333,240,0.012913497258093088,61.25000000000001,240,0.0,66.25,240,-0.0005780650585947775,0.8333333333333334,240,-0.0019729425028184896,1.25,qwen2_5vl_3b,Expert 1,0
Expert 2 vs qwen2_5vl_3b,240,-0.01244463193419102,50.0,240,-0.008301275561854629,65.41666666666667,240,-0.012370254514431927,62.916666666666664,240,-0.0006306495690561283,0.8333333333333334,240,-0.002255427121511135,1.25,qwen2_5vl_3b,Expert 2,0
